rank,Artists,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
120,DJ Robin SchArze,Layla,Polydor x Island Records & Kontor New Media & Summerfield Records,120,195,2,6985121
121,J Cole,No Role Modelz,Roc Nation Records LLC,76,129,51,6974666
122,The Weeknd Daft Punk,Starboy,Universal Republic Records,1,126,93,6958528
123,Tears For Fears,Everybody Wants To Rule The World,UMC Universal Music Catalogue,121,121,6,6918015
124,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,115,184,6895453
125,BTS,Run BTS,BIGHIT MUSIC,11,65,5,6837752
126,Mora Feid,LA INOCENTE,Rimas Entertainment LLC,126,194,2,6783870
127,Drake,Sticky,OVO,17,94,4,6757368
128,Megan Thee Stallion Dua Lipa,Sweetest Pie,300 Entertainment,17,122,18,6722738
129,Queen,Bohemian Rhapsody  Remastered 2011,Hollywood Records,11,128,198,6717197
130,Maroon 5 Wiz Khalifa,Payphone,Interscope Records,70,130,30,6646181
131,Doja Cat,Need to Know,Kemosabe Records RCA Records,6,119,57,6644057
132,Burna Boy,Last Last,Spaceship  Bad Habit Atlantic Records,132,-1,1,6638232
133,The Weeknd Gesaffelstein,I Was Never There,Universal Republic Records,17,148,6,6605597
134,Dua Lipa,Dont Start Now,Warner Records,2,125,141,6603999
135,Lady Gaga,Hold My Hand,Interscope Records,110,118,7,6599369
136,Zion & Lennox,Yo Voy feat Daddy Yankee,Baby Records Inc,59,136,21,6550814
137,Jaymes Young,Infinity,Atlantic Records,11,127,37,6538563
138,BTS,Dynamite,BIGHIT MUSIC,2,120,99,6532745
139,Shae Gill Ali Sethi,Pasoori,Giraffe Pakistan,109,151,12,6524803
140,Justin Bieber Daniel Caesar Giveon,Peaches feat Daniel Caesar and Giveon,RBMG Def Jam,1,133,69,6523246
141,Taylor Swift,Blank Space,Big Machine Records LLC,113,140,36,6493642
142,Post Malone Swae Lee,Sunflower  SpiderMan Into the SpiderVerse,Republic Records,1,139,195,6480368
143,Bad Bunny,Enseñame a Bailar,Rimas Entertainment LLC,27,124,10,6472774
144,L7NNON DJ Biel do Furduncinho Bianca,Ai Preto,Papatunes,144,176,2,6463319
145,Marshmello Khalid,Numb,Joytime Collective RCA Records,114,149,5,6446068
146,David Guetta Becky Hill Ella Henderson,Crazy What Love Can Do,Parlophone UK,146,156,10,6444554
147,Ryan Castro,Jordan,King Records,33,138,20,6428732
148,Lil Nas X,MONTERO Call Me By Your Name,Columbia,1,135,68,6413290
149,Nirvana,Smells Like Teen Spirit,Geffen,103,147,79,6407330
150,Vance Joy,Riptide,Atlantic Records,122,145,80,6405142
151,Maneskin,Beggin,RCA Records Label,1,142,58,6404697
152,Maneskin,SUPERMODEL,Epic,89,155,9,6390201
153,OneRepublic,Counting Stars,Mosley   Interscope,101,146,70,6389642
154,The Killers,Mr Brightside,Island Records,98,141,103,6377591
155,Troye Sivan,Angel Baby,EMI Recorded Music Australia Pty Ltd,59,131,15,6368998
156,Harry Styles,Daylight,Columbia,10,123,8,6360091
157,TINI Becky G Anitta,La Loto,Sony Music Latin,157,-1,1,6354408
158,Eminem,The Real Slim Shady,Interscope,51,143,58,6347800
159,Cardi B Kanye West Lil Durk,Hot Shit feat Ye and Lil Durk,Atlantic Records,54,54,2,6280767
160,Post Malone,Circles,Republic Records,1,144,150,6273440
161,Bad Bunny,Un Verano Sin Ti,Rimas Entertainment LLC,20,132,10,6253523
162,Sia,Unstoppable,Monkey Puzzle Records RCA Records,107,152,22,6251829
163,Daddy Yankee Bad Bunny,X ULTIMA VEZ,Republic Records,18,137,16,6246991
164,Bad Bunny Jhay Cortez,DAKITI,Rimas Entertainment LLC,1,153,89,6238240
165,The Weeknd,The Hills,Universal Republic Records,52,167,46,6217639
166,MC Tairon Mc Vitin Da Igrejinha Dj Win,Baile no Morro,Life Song Records,154,154,2,6217171
167,J Balvin Bad Bunny,LA CANCION,Universal Music Latino   Rimas,17,161,73,6146420
168,Ed Sheeran,Shape of You,Atlantic Records UK,1,158,285,6132218
169,Joji,SLOW DANCING IN THE DARK,88rising Music Warner Records,75,134,40,6090140
170,Bruno Mars,Locked out of Heaven,Atlantic Records,106,164,28,6050387
171,ACRAZE Cherish,Do It To It,Thrive Music LLC,9,160,37,6025166
172,Tate McRae,shes all i wanna be,RCA Records Label,38,166,23,6024585
173,Steve Lacy,Dark Red,Three Quarter,66,181,49,6022557
174,Conan Gray,Heather,Republic Records,12,169,103,5968588
175,Coolio LV,Gangstas Paradise,Tommy Boy Music LLC,116,168,38,5941982
176,LF SYSTEM,Afraid To Feel,Warner Records,176,-1,1,5909732
