Artists,artist_genres
Maroon 5 Wiz Khalifa,['pop']
Doja Cat,"['dfw rap', 'melodic rap', 'rap']"
Burna Boy,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
The Weeknd Gesaffelstein,"['dark clubbing', 'destroy techno']"
Dua Lipa,"['deep underground hip hop', 'kentucky hip hop', 'rap']"
Lady Gaga,"['art pop', 'dance pop', 'pop']"
Zion & Lennox,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Jaymes Young,"['modern rock', 'pop']"
BTS,"['dance pop', 'pop', 'viral pop']"
Shae Gill Ali Sethi,[]
Justin Bieber Daniel Caesar Giveon,"['canadian pop', 'pop']"
Taylor Swift,['pop']
Post Malone Swae Lee,"['dfw rap', 'melodic rap', 'rap']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
L7NNON DJ Biel do Furduncinho Bianca,['pop rap brasileiro']
Marshmello Khalid,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
David Guetta Becky Hill Ella Henderson,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Ryan Castro,['trap colombiano']
Lil Nas X,"['lgbtq+ hip hop', 'pop']"
Nirvana,"['alternative rock', 'grunge', 'permanent wave', 'rock']"
Vance Joy,"['folk-pop', 'modern rock', 'pop', 'pop rock']"
Maneskin,"['indie rock italiano', 'italian pop']"
Maneskin,"['indie rock italiano', 'italian pop']"
OneRepublic,"['dance pop', 'piano rock', 'pop', 'pop rock']"
The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
Troye Sivan,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']"
Harry Styles,['pop']
TINI Becky G Anitta,"['latin pop', 'pop argentino']"
Eminem,"['detroit hip hop', 'hip hop', 'rap']"
Cardi B Kanye West Lil Durk,"['dance pop', 'pop', 'pop rap', 'rap']"
Post Malone,"['dfw rap', 'melodic rap', 'rap']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Sia,"['australian dance', 'australian pop', 'pop']"
Daddy Yankee Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny Jhay Cortez,"['latin', 'reggaeton', 'trap latino']"
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
MC Tairon Mc Vitin Da Igrejinha Dj Win,['funk mtg']
J Balvin Bad Bunny,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Ed Sheeran,"['pop', 'uk pop']"
Joji,['viral pop']
Bruno Mars,"['dance pop', 'pop']"
ACRAZE Cherish,[]
Tate McRae,"['pop', 'uk pop']"
Steve Lacy,['afrofuturism']
Conan Gray,"['bedroom pop', 'pop']"
Coolio LV,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
LF SYSTEM,[]
Eminem,"['detroit hip hop', 'hip hop', 'rap']"
Brent Faiyaz,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']"
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']"
Ed Sheeran,"['pop', 'uk pop']"
Olivia Rodrigo,['pop']
Drake WizKid Kyla,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Rauw Alejandro,"['latin', 'reggaeton', 'trap latino']"
Cigarettes After Sex,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']"
Arctic Monkeys,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
Rosa Linn,[]
Bizarrap Tiago PZK,"['argentine hip hop', 'pop venezolano', 'trap argentino']"
Brent Faiyaz,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']"
Arctic Monkeys,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
Tiago PZK Ozuna,['trap argentino']
Rema,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
Avicii,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Alejo Feid ROBI,"['reggaeton', 'trap latino']"
Shawn Mendes,"['canadian pop', 'pop', 'viral pop']"
The Kid LAROI,['australian hip hop']
Ze Felipe MC Mari,"['arrocha', 'arrochadeira']"
The Goo Goo Dolls,"['neo mellow', 'permanent wave', 'pop rock']"
Fivio Foreign The Kid LAROI,"['brooklyn drill', 'hip hop', 'new york drill', 'rap', 'trap']"
Sleepy Hallow 347aidan,"['brooklyn drill', 'nyc rap']"
Avicii,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
