,Artists,streams,artist_genres
168,Feid,9623337,"['reggaeton', 'trap latino']"
169,Steve Lacy,9518756,['afrofuturism']
171,Olivia Rodrigo,9429278,['pop']
181,Bad Bunny Buscabulla,9344372,"['latin', 'reggaeton', 'trap latino']"
182,BTS,9105031,"['dance pop', 'pop', 'viral pop']"
190,James Hype Miggy Dela Rosa,8944766,"['deep groove house', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']"
191,Adele,8863635,"['british soul', 'pop', 'pop soul', 'uk pop']"
192,Anitta,8585175,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']"
193,Dua Lipa DaBaby,8515720,"['dance pop', 'pop', 'uk pop']"
208,Lil Nas X,8430368,"['lgbtq+ hip hop', 'pop']"
220,Taylor Swift,8333301,['pop']
222,Billie Eilish,8330230,['indie hip hop']
223,Arctic Monkeys,8328287,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
231,Tainy Bad Bunny Julieta Venegas,8281898,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']"
274,j hope,8166216,"['k-pop', 'k-rap']"
275,Imanbek BYOR,8147362,"['dance pop', 'edm', 'electro house', 'pop dance', 'slap house', 'tropical house']"
281,Imagine Dragons,8105205,"['modern rock', 'rock']"
297,Post Malone Roddy Ricch,7994323,"['dfw rap', 'melodic rap', 'rap']"
304,Yung Gravy,7961447,"['minnesota hip hop', 'pop rap']"
305,NAYEON,7946134,[]
306,Manuel Turizo,7913446,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
307,Doja Cat SZA,7834602,"['dance pop', 'pop']"
308,GAYLE,7804786,['modern alternative pop']
309,WILLOW,7793009,['pop']
310,PolimA Westcoast Pailita,7788713,"['trap chileno', 'trap latino', 'trap triste', 'urbano chileno']"
311,Lasso,7759140,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock independant francais']"
326,Coldplay BTS,7725313,"['permanent wave', 'pop']"
327,Benson Boone,7706393,['pop']
328,Paloma Faith,7684157,"['british soul', 'dance pop', 'uk pop']"
329,Charlie Puth,7678666,"['dance pop', 'pop', 'viral pop']"
330,TiAsto Ava Max,7581340,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
