rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,week
30,spotify:track:6SFStUDQZNaGPKWOx9ZiJB,Anne Marie,2002,27,34,13,12993637,7/19/2018
55,spotify:track:4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,1 2 3 feat Jason Derulo and De La Ghetto,31,51,22,8699047,7/19/2018
134,spotify:track:5fcM0StdQxMjzulVGhFkHN,Drake,8 Out Of 10,12,58,3,4952719,7/19/2018
157,spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,Africa,145,170,18,4471738,7/19/2018
126,spotify:track:4IvenHmD0spfFDOKphoUDp,Drake,After Dark feat Static Major and Ty Dolla Sign,40,75,3,5178495,7/19/2018
69,spotify:track:0XySogm94T51XF5F2jumXm,Juice WRLD,All Girls Are The Same,48,65,10,7542056,7/19/2018
60,spotify:track:3qnoOm4fwZPBS116f5hpgF,Kanye West,All Mine,3,59,7,7946165,7/19/2018
174,spotify:track:3uhBIQ7tv8j1FME8cFGEfG,John Legend,All of Me,147,-1,12,4227768,7/19/2018
109,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,All The Stars with SZA,2,113,28,5535661,7/19/2018
136,spotify:track:6VrBWh90BiwWmwKtvwWFcq,J Balvin,Ambiente,109,135,8,4857298,7/19/2018
176,spotify:track:2Ab1wPTEqulaCGoBak1gUo,Matheus and Kauan,Ao Vivo E A Cores,160,177,7,4206628,7/19/2018
37,spotify:track:0E6PsO3ymCfUh7pJQjBgkj,The Carters,APESHIT,37,38,4,11444526,7/19/2018
96,spotify:track:6rbhaJsE4uLzpPf8WYSHDK,Brytiago,Asesina,96,123,3,6109009,7/19/2018
99,spotify:track:7boPPE857KEqCIHNwFkDop,Sia,Audio feat Sia Diplo and Labrinth,76,111,10,6077055,7/19/2018
21,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,Back To You From 13 Reasons Why Season 2 Soundtrack,4,19,10,16951697,7/19/2018
93,spotify:track:6IaieqiCVvsNvEt6Y7yOFa,Post Malone,Ball For Me feat Nicki Minaj,15,93,12,6336227,7/19/2018
27,spotify:track:1ZEm9cJC05rawV2tptNfTS,Nicki Minaj,Bed feat Ariana Grande,22,31,5,13496542,7/19/2018
77,spotify:track:5VKSZDsidOFHrtlJb33Syo,Imagine Dragons,Believer,16,87,76,6986327,7/19/2018
102,spotify:track:0SaYeGhSXN0dDWstyNTQ56,Wolfine,Bella Remix,81,106,11,5933789,7/19/2018
139,spotify:track:447yWcDPg1ddgcHBLGpJC0,Louis The Child,Better Not with Wafia,119,155,6,4789162,7/19/2018
11,spotify:track:7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now,1,9,12,23691320,7/19/2018
127,spotify:track:2RM4jf1Xa9zPgMGRDiht8O,YG,BIG BANK feat 2 Chainz Big Sean Nicki Minaj,127,158,3,5147978,7/19/2018
166,spotify:track:5S1IUPueD0xE0vj4zU3nSf,2 Chainz,Bigger Than You feat Drake and Quavo,71,179,5,4372979,7/19/2018
125,spotify:track:1Jrj3k5L36dPkU6KAclU7g,Drake,Blue Tint,34,71,3,5189725,7/19/2018
32,spotify:track:43V1z6QToNNWNldV4FEG6r,Loud Luxury,Body,32,49,7,12786242,7/19/2018
58,spotify:track:0At2qAoaVjIwWNAqrscXli,Ella Mai,Bood Up,58,64,5,8027586,7/19/2018
25,spotify:track:0kHyKhJMukHEPfeh8s7rdM,Kygo,Born To Be Yours,25,29,5,13905970,7/19/2018
106,spotify:track:1gm616Plq4ScqNi7TVkZ5N,The Weeknd,Call Out My Name,1,92,16,5740829,7/19/2018
101,spotify:track:4178A5NkEjcsGc64jpBO6d,Luis Fonsi,Calypso,101,127,2,5941256,7/19/2018
137,spotify:track:32lItqlMi4LBhb4k0BaSaC,Post Malone,Candy Paint,17,137,44,4808894,7/19/2018
88,spotify:track:7cfvP13Bqb1EyCZQiYsLum,Drake,Cant Take A Joke,19,47,3,6467254,7/19/2018
26,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,changes,9,22,20,13677774,7/19/2018
62,spotify:track:7DrluKkTviBwCc8AV3VGmf,Shakira,Clandestino,62,82,6,7797932,7/19/2018
133,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,2,133,82,5013382,7/19/2018
145,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,Post Malone,Congratulations,20,150,78,4672318,7/19/2018
124,spotify:track:3T4UodGkfZObJ43RtA5KFU,OneRepublic,Connection,124,164,2,5202682,7/19/2018
183,spotify:track:6Za3190Sbw39BBC77WSS1C,Natti Natasha,Criminal,21,178,44,4031022,7/19/2018
116,spotify:track:2CWnuF7ht55Ajyeg4WPvWu,BLACKPINK,DDUDU DDUDU,47,108,5,5417805,7/19/2018
144,spotify:track:1j6xOGusnyXq3l6IryKF3G,Piso 21,Dejala Que Vuelva feat Manuel Turizo,33,141,37,4687464,7/19/2018
146,spotify:track:2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,Dembow,65,138,27,4638970,7/19/2018
4,spotify:track:36ONiya0OANYknz0GgJmwB,Drake,Dont Matter To Me with Michael Jackson,2,2,3,28813636,7/19/2018
129,spotify:track:6tpHfEM8eaETzlPOARYWfZ,Lil Pump,Drug Addicts,102,102,2,5126114,7/19/2018
110,spotify:track:6KuqAtoeVzxAYOaMveLNpH,Daddy Yankee,Dura,9,117,26,5521398,7/19/2018
64,spotify:track:6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,Dura Remix,52,62,12,7752843,7/19/2018
135,spotify:track:31M5m42C3EGlbydf9XB5to,Leslie Grace,Duro y Suave,135,140,10,4858479,7/19/2018
34,spotify:track:0d2iYfpKoM0QCKvcLCkBao,benny blanco,Eastside with Halsey and Khalid,34,-1,1,12037645,7/19/2018
142,spotify:track:2hl6q70unbviGo3g1R7uFx,Luis Fonsi,echame La Culpa,7,134,35,4748325,7/19/2018
111,spotify:track:2XVilv6s9GETnw9PG4T9Mz,Maluma,El Prestamo,52,112,19,5520875,7/19/2018
80,spotify:track:4uloft7ZE54WflsuqFmjC7,Drake,Elevate,9,39,3,6889687,7/19/2018
61,spotify:track:1v1IXPXl73Z7zy6f5tUa9n,Drake,Emotionless,6,28,3,7924641,7/19/2018
117,spotify:track:3JJYIoJ5FyY9E0DGjr7SXF,Lauv,Enemies,107,128,4,5417301,7/19/2018
175,spotify:track:44KKhCyI0BGS6LvVyDqJtH,Lil Pump,Esskeetit,51,166,14,4226932,7/19/2018
90,spotify:track:7glCSQqV5o6NU88Cn4zPZn,Bad Bunny,Estamos Bien,90,97,3,6390645,7/19/2018
74,spotify:track:3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,Everybody Dies In Their Nightmares,24,60,31,7234008,7/19/2018
195,spotify:track:3aW0ds4A4tSQDIp75FqWTo,BTS,FAKE LOVE,14,174,9,3948076,7/19/2018
118,spotify:track:0Y4hwUppbGc8aIBmiTz30A,Liam Payne,Familiar,57,118,13,5408831,7/19/2018
152,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,Portugal The Man,Feel It Still,18,153,53,4510386,7/19/2018
169,spotify:track:7p4vHnYXkxlzvfePJVpcTr,Childish Gambino,Feels Like Summer,169,-1,1,4339960,7/19/2018
178,spotify:track:590bUp2TKTfTS9NfiD4Nmn,Drake,Finesse,38,100,3,4179900,7/19/2018
41,spotify:track:33IOhptvC2Qoy2UhjiHXLV,David Guetta,Flames,20,36,17,10913185,7/19/2018
130,spotify:track:1RagpNpkD3KcjXMLGMe99V,Wiz Khalifa,Fr Fr feat Lil Skies,130,-1,1,5112027,7/19/2018
100,spotify:track:10Igtw8bSDyyFs7KIsKngZ,Lil Dicky,Freaky Friday feat Chris Brown,7,95,18,5962499,7/19/2018
44,spotify:track:08bNPGLD8AhKpnnERrAc6G,Marshmello,FRIENDS,4,35,23,10845735,7/19/2018
54,spotify:track:7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,Fuck Love feat Trippie Redd,19,45,44,8705922,7/19/2018
193,spotify:track:78CLZUWhsxIDwObCKOh1fh,Bushido,Fur Euch alle,107,107,2,4000895,7/19/2018
3,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,Girls Like You feat Cardi B Cardi B Version,3,4,7,29296811,7/19/2018
2,spotify:track:7gkWXbAxIYuvtOpcN3p9GJ,Ariana Grande,God is a woman,2,-1,1,29847494,7/19/2018
18,spotify:track:2VWbHHhWnMzKWPUs4IEEW9,Drake,Gods Plan,1,12,26,18033171,7/19/2018
177,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,60,181,81,4196235,7/19/2018
186,spotify:track:0TCnOEVeLQMXOUrpPlM7uY,Rae Sremmurd,Guatemala From Swaecation,111,168,8,4023775,7/19/2018
167,spotify:track:2CvOqDpQIMw69cCzWqr5yr,Beyonce,Halo,149,184,10,4368364,7/19/2018
113,spotify:track:2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,Happier,10,120,62,5510982,7/19/2018
57,spotify:track:1rfofaqEpACxVEHIZBJe6W,Camila Cabello,Havana feat Young Thug,1,56,50,8150188,7/19/2018
70,spotify:track:1rqqCSm0Qe4I9rUvWncaom,Panic At The Disco,High Hopes,70,81,4,7463975,7/19/2018
123,spotify:track:2ZRo7axmMPeSVUvDbGkJah,XXXTENTACION,Hope,42,109,7,5230140,7/19/2018
87,spotify:track:7IBSffWIu7P2MC7kMwy2FM,Wiz Khalifa,Hopeless Romantic feat Swae Lee,87,-1,1,6498571,7/19/2018
138,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,HUMBLE,1,143,68,4807192,7/19/2018
105,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,Post Malone,I Fall Apart,10,104,43,5878146,7/19/2018
5,spotify:track:58q2HKrzhC3ozto2nDdN4z,Cardi B,I Like It,3,7,15,27369377,7/19/2018
151,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,29,161,59,4541035,7/19/2018
53,spotify:track:76cy1WJvNGJTj78UqeA5zr,Dua Lipa,IDGAF,4,48,29,8844454,7/19/2018
66,spotify:track:1oc3jna2ablnfIKLYbKujl,Years and Years,If Youre Over Me,66,68,7,7588783,7/19/2018
121,spotify:track:083Qf6hn6sFL6xiOHlZUyn,Jess Glynne,Ill Be There,66,125,11,5280557,7/19/2018
85,spotify:track:04ZTP5KsCypmtCmQg5tH9R,Bebe Rexha,Im a Mess,85,90,4,6673449,7/19/2018
28,spotify:track:1iSZPndzmY6NvL1jAtIvY1,Drake,Im Upset,7,21,8,13021806,7/19/2018
128,spotify:track:3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,Im Yours,128,154,16,5127210,7/19/2018
92,spotify:track:21YnmkSDhUkmkkni22Svc4,Shawn Mendes,In My Blood,7,85,17,6342642,7/19/2018
1,spotify:track:0bAkKNCQfWkexHFn7fIKns,Drake,In My Feelings,1,1,3,67499798,7/19/2018
67,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,In My Mind,67,121,2,7587531,7/19/2018
13,spotify:track:4kWO6O1BUXcZmaxitpVUwp,Tiesto,Jackie Chan,13,15,9,21601280,7/19/2018
196,spotify:track:3jipFRgLyKK0oJoG1pKicx,Drake,Jaded,35,103,3,3947144,7/19/2018
132,spotify:track:5PTG6rrL6EPFD9E2QMI2pl,Famous Dex,JAPAN,34,130,17,5037749,7/19/2018
29,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,7,24,47,13017221,7/19/2018
200,spotify:track:2OvV4NjEBRE9v8Oo7QeUCq,Julia Michaels,Jump with Trippie Redd,146,-1,4,3913593,7/19/2018
59,spotify:track:6cQnrSlTxhHCCiUpKrs7g3,Twenty One Pilots,Jumpsuit,59,-1,1,7987373,7/19/2018
43,spotify:track:19MBk3PbNFE36wqIqkMq9H,Alvaro Soler,La Cintura,42,42,10,10848362,7/19/2018
56,spotify:track:0VKkyBKCXyR99navhVRqcP,Zion and Lennox,La player Bandolera,56,57,18,8251992,7/19/2018
199,spotify:track:6lOWoTqVnAWXchddtTH31W,Tom Walker,Leave a Light On,169,-1,13,3933774,7/19/2018
197,spotify:track:2jyjhRf6DVbMPU5zxagN2h,Passenger,Let Her Go,170,-1,10,3944815,7/19/2018
189,spotify:track:2uaiyLKnYvazyfR0Ky3Kbk,Alec Benjamin,Let Me Down Slowly,184,194,3,4010704,7/19/2018
160,spotify:track:3D1rlKmZdpYUeMtRRLNawc,Rudimental,Let Me Live feat AnneMarie and Mr Eazi,160,-1,1,4459041,7/19/2018
190,spotify:track:52okn5MNA47tk87PeZJLEL,NF,Let You Down,9,190,41,4004612,7/19/2018
163,spotify:track:07FkzikE6FuHIa8Ma7zJGc,NF,Lie,163,-1,1,4401900,7/19/2018
161,spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ,David Guetta,Like I Do,24,151,21,4447594,7/19/2018
149,spotify:track:5QskYLFPX9y7pLU0VEMNbr,Shawn Mendes,Like To Be You feat Julia Michaels,86,144,5,4619161,7/19/2018
103,spotify:track:4DnHUy01jEA4b5ydC3HgsT,Nicky Jam,Live It Up Official Song 2018 FIFA World Cup Russia,79,101,7,5932775,7/19/2018
50,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,Look Alive feat Drake,6,50,23,9478647,7/19/2018
78,spotify:track:6eYxmK9fdL4hwLnXG2zY3s,XXXTENTACION,Look At Me,39,72,48,6929277,7/19/2018
71,spotify:track:45Egmo7icyopuzJN0oMEdk,Khalid,Love Lies with Normani,11,67,22,7427269,7/19/2018
47,spotify:track:0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely with Khalid,24,40,13,10100946,7/19/2018
6,spotify:track:0s3nnoMeVWz3989MkNQiRf,Juice WRLD,Lucid Dreams,3,6,10,26990092,7/19/2018
141,spotify:track:4dSoDnmR9opAQ8KxUc9SbC,Sean Paul,Mad Love,38,131,20,4780391,7/19/2018
75,spotify:track:0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,Madura feat Bad Bunny,70,76,14,7143094,7/19/2018
48,spotify:track:6jA8JUuPCGYjFcgw0AoM5T,Reik,Me Niego feat Ozuna and Wisin,22,43,22,9859532,7/19/2018
76,spotify:track:4e4fqjx0Izh4svvTef1z7e,Bebe Rexha,Meant to Be feat Florida Georgia Line,18,66,44,7100144,7/19/2018
52,spotify:track:7sFYVcKSb24qg0dAkqLEFj,KAROL G,Mi Cama,52,52,7,8909031,7/19/2018
187,spotify:track:7COfe3P7KgfwDwIRB8LIDw,J Balvin,Mi Gente,1,196,55,4015896,7/19/2018
81,spotify:track:7uzmGiiJyRfuViKKK3lVmR,Bazzi,Mine,3,77,26,6862576,7/19/2018
45,spotify:track:7txPE73wHbuXYkM1h8zNrG,Drake,Mob Ties,11,26,3,10638575,7/19/2018
17,spotify:track:0JP9xo3adEtGSdUEISiszL,XXXTENTACION,Moonlight,2,14,18,18124958,7/19/2018
156,spotify:track:6h5PAsRni4IRlxWr6uDPTP,Axwell Ingrosso,More Than You Know,15,182,60,4485801,7/19/2018
198,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,The Killers,Mr Brightside,148,-1,25,3934737,7/19/2018
170,spotify:track:4eWQlBRaTjPPUlzacqEeoQ,Camila Cabello,Never Be the Same,4,167,32,4311818,7/19/2018
31,spotify:track:63SevszngYpZOwf63o61K4,Dennis Lloyd,Nevermind,18,30,18,12831612,7/19/2018
97,spotify:track:40FLJc17FMZaPmCQEEZgB0,John Mayer,New Light,63,96,9,6108137,7/19/2018
65,spotify:track:2ekn2ttSfGqwhhate0LSR0,Dua Lipa,New Rules,2,73,54,7663629,7/19/2018
19,spotify:track:0HVv5bEOiI9a0QfgcASXpX,Drake,Nice For What,1,13,15,17875542,7/19/2018
79,spotify:track:6ZIuit0z4eQg77F1RGkp0L,Twenty One Pilots,Nico and the Niners,79,-1,1,6899889,7/19/2018
38,spotify:track:5qFeMRz4TvetPmzjre9Dq7,J Balvin,No Es Justo,38,46,4,11315737,7/19/2018
168,spotify:track:5bITfqKGaPakO1l99hOMsI,Justin Quiles,No Quiero Amarte feat Zion and Lennox,168,192,2,4355849,7/19/2018
23,spotify:track:5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,no tears left to cry,2,20,13,16510055,7/19/2018
12,spotify:track:2Vx8E3K5icPZR7OCklWBXX,Drake,Nonstop,1,5,3,23619963,7/19/2018
172,spotify:track:01TnVDiet1DFTsyWKUKovl,XXXTENTACION,NUMB,48,142,8,4244059,7/19/2018
108,spotify:track:7hDVYcQq6MxkdJGweuCtl9,Billie Eilish,ocean eyes,108,139,5,5628375,7/19/2018
15,spotify:track:3nc420PXjTdBV5TN0gCFkS,Martin Garrix,Ocean feat Khalid,15,17,5,18993111,7/19/2018
153,spotify:track:1zi7xx7UVEFkmKfv06H8x0,Drake,One Dance,12,159,82,4500904,7/19/2018
9,spotify:track:7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss with Dua Lipa,2,8,15,24377017,7/19/2018
94,spotify:track:54l9GJGQ1UCFKe2tzt1Vxt,Cheat Codes,Only You,94,132,2,6278527,7/19/2018
83,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,Khalid,OTW,24,89,13,6762094,7/19/2018
181,spotify:track:3fpVWegR6YOS1Yk5HSMYIq,Post Malone,Paranoid,4,173,12,4076428,7/19/2018
82,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,4,83,72,6802264,7/19/2018
143,spotify:track:1bhUWB0zJMIKr9yVPrkEuI,Ed Sheeran,Perfect Duet Ed Sheeran and Beyonce,3,148,33,4708960,7/19/2018
73,spotify:track:4F1yvJfQ7gJkrcgFJQDjOr,KYLE,Playinwitme feat Kehlani,28,80,15,7257632,7/19/2018
104,spotify:track:6mAz8D1TmlTuef90dbNIiZ,Rich The Kid,Plug Walk,19,98,20,5919774,7/19/2018
84,spotify:track:2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,Por Perro,84,88,11,6707725,7/19/2018
162,spotify:track:1BuZAIO8WZpavWVbbq3Lci,Rae Sremmurd,Powerglide feat Juicy J From SR3MM,50,156,20,4423747,7/19/2018
40,spotify:track:7ycWLEP1GsNjVvcjawXz3z,ASAP Rocky,Praise The Lord Da Shine feat Skepta,25,44,8,11069141,7/19/2018
35,spotify:track:3swc6WTsr7rl9DqQKQA55C,Post Malone,Psycho feat Ty Dolla Sign,2,32,21,12015987,7/19/2018
120,spotify:track:6xTU6B6nFwKKTSZ9ySXS80,Kygo,Remind Me to Forget,29,116,18,5329824,7/19/2018
119,spotify:track:7sO5G9EABYOXQKNPNiE9NR,Offset,Ric Flair Drip with Metro Boomin,32,126,38,5332198,7/19/2018
16,spotify:track:3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,Rise,16,23,7,18154570,7/19/2018
36,spotify:track:0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar feat 21 Savage,1,33,44,11617067,7/19/2018
7,spotify:track:3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,SAD,1,3,20,26233409,7/19/2018
165,spotify:track:1sPLURKAosM3Jampgp9AWq,Drake,Sandras Rose,24,84,3,4378996,7/19/2018
150,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Wont Let Go,7,146,82,4618131,7/19/2018
51,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,1,54,80,9320187,7/19/2018
95,spotify:track:4ofwffwvvnbSkrMSCKQDaC,George Ezra,Shotgun,95,119,4,6114997,7/19/2018
114,spotify:track:5Y9fnynLlIvqtM710MHzfz,Ozuna,Síguelo Bailando,43,105,29,5461168,7/19/2018
173,spotify:track:7vGuf3Y35N4wmASOKLUVVU,Marshmello,Silence,8,163,49,4239465,7/19/2018
179,spotify:track:4P92FrvmYQSAfOpp4cpFEi,Florida Georgia Line,Simple,134,171,5,4177940,7/19/2018
24,spotify:track:2ijef6ni2amuunRoKTlgww,Becky G,Sin Pijama,24,25,12,14962055,7/19/2018
192,spotify:track:7rwX0O3RlxqqIjQM8evm5E,Ozuna,Solita,75,186,25,4001335,7/19/2018
10,spotify:track:6kPJZM97LwdG9QIsT7khp6,Clean Bandit,Solo feat Demi Lovato,10,10,9,24095921,7/19/2018
159,spotify:track:3pWcj8hxj3fsb9TDAcMpEl,The Chainsmokers,Somebody,58,114,13,4462469,7/19/2018
158,spotify:track:6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,Something Just Like This,2,162,74,4467219,7/19/2018
185,spotify:track:3Du2K5dLzmduCNp6uwuaL0,Demi Lovato,Sorry Not Sorry,7,188,53,4026211,7/19/2018
147,spotify:track:0w1ZtnzQmtmuuoKxHT0pLL,Drake,Summer Games,31,79,3,4638607,7/19/2018
22,spotify:track:4j3GWI86JvSaF0BLdmgcfF,Childish Gambino,Summertime Magic,22,191,2,16749909,7/19/2018
131,spotify:track:71SEHJPt1iDwGkBhUOAXDP,Drake,Survival,8,61,3,5062291,7/19/2018
194,spotify:track:3KYOGt8IO6j8wptkG9THag,Hozier,Take Me to Church,166,-1,4,3996559,7/19/2018
148,spotify:track:3Yw09dj3cTXsAzlLjgBfIP,Drake,Talk Up feat JayZ,18,70,3,4629311,7/19/2018
8,spotify:track:5IaHrVsrferBYDm0bDyABy,Tyga,Taste feat Offset,8,11,9,24591233,7/19/2018
115,spotify:track:2RVrdr062uLFxXwIxwdXPH,Piso 21,Te Amo,76,122,17,5438487,7/19/2018
20,spotify:track:3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,Te Bote Remix,8,18,14,17775281,7/19/2018
164,spotify:track:0SVsEdvot6vU4byv5yW0oj,Drake,Thats How You Feel,39,91,3,4389320,7/19/2018
191,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,Thats What I Like,6,197,77,4002716,7/19/2018
46,spotify:track:09IStsImFySgyp0pIQdqAc,Zedd,The Middle,6,41,25,10326488,7/19/2018
91,spotify:track:4UKCKdYiLN6IMA5ZESUTL7,XXXTENTACION,the remedy for a broken heart why am I so in love,27,78,10,6352364,7/19/2018
68,spotify:track:5CLGzJsGqhCEECcpnFQA8x,Rudimental,These Days feat Jess Glynne Macklemore and Dan Caplen,9,53,26,7550971,7/19/2018
184,spotify:track:1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,Thinking out Loud,58,189,82,4026880,7/19/2018
72,spotify:track:0b9oOr2ZgvyQu88wzixux9,Childish Gambino,This Is America,1,74,11,7311699,7/19/2018
86,spotify:track:7BrsBU0BAytRDvROM4yCbn,Imagine Dragons,Thunder,8,94,64,6560522,7/19/2018
112,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,Too Good At Goodbyes,1,115,45,5514317,7/19/2018
154,spotify:track:3B54sVLJ402zGa6Xm4YGNe,French Montana,Unforgettable,3,152,67,4494646,7/19/2018
63,spotify:track:6752EZMgXswvRBH3N2PilO,Ozuna,Unica,63,69,8,7754505,7/19/2018
49,spotify:track:1s2B5cndbqK8rPJEIcKJRQ,Ozuna,Vaina Loca,49,63,3,9840859,7/19/2018
122,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,Avicii,Wake Me Up,13,145,13,5232627,7/19/2018
98,spotify:track:6n4U3TlzUGhdSFbUUhTvLP,Migos,Walk It Talk It,22,99,25,6080121,7/19/2018
89,spotify:track:3obgSF06ki98lYNLNq5vCB,Juice WRLD,Wasted feat Lil Uzi Vert,89,-1,1,6417691,7/19/2018
171,spotify:track:0GxQ1A5L9xnMOytbP6eKBG,Maroon 5,What Lovers Do feat SZA,5,180,46,4261089,7/19/2018
188,spotify:track:0yt31hMKZMiyIEfiBiLD2N,Imagine Dragons,Whatever It Takes,51,193,49,4012717,7/19/2018
140,spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,Avicii,Without You feat Sandro Cavazza,20,165,41,4787369,7/19/2018
155,spotify:track:0tBbt8CrmxbjRP0pueQkyU,Selena Gomez,Wolves,3,160,39,4487861,7/19/2018
182,spotify:track:5qqabIl2vWzo9ApSC317sa,Oasis,Wonderwall Remastered,152,198,40,4037172,7/19/2018
33,spotify:track:39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,X feat Maluma and Ozuna Remix,4,27,20,12535735,7/19/2018
39,spotify:track:6JjPBQfI2Y8nIjnm65X6Pw,Nicky Jam,X feat Maluma and Ozuna Remix,39,55,3,11274253,7/19/2018
107,spotify:track:7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,XO Tour Llif3,10,110,69,5739170,7/19/2018
42,spotify:track:6vN77lE9LK6HP2DewaN6HZ,Lil Baby,Yes Indeed,12,37,10,10866436,7/19/2018
180,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Young Dumb and Broke,12,172,56,4139250,7/19/2018
14,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,8,16,14,20894857,7/19/2018
40,spotify:track:7KbF6AdprOXEEHlsq11Z6d,Maluma,11:00 PM,33,33,9,11734929,7/18/2019
33,spotify:track:7KbF6AdprOXEEHlsq11Z6d,Maluma,11:00 PM,33,36,8,12017252,7/11/2019
36,spotify:track:7KbF6AdprOXEEHlsq11Z6d,Maluma,11:00 PM,36,38,7,12291848,7/4/2019
39,spotify:track:7KbF6AdprOXEEHlsq11Z6d,Maluma,11:00 PM,33,40,10,11397919,7/25/2019
35,spotify:track:7KbF6AdprOXEEHlsq11Z6d,Maluma,11:00 PM,33,39,11,11497445,8/1/2019
140,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne Marie,2002,27,138,65,5577964,7/18/2019
138,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne Marie,2002,27,130,64,5432939,7/11/2019
130,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne Marie,2002,27,127,63,5659285,7/4/2019
140,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne Marie,2002,27,140,66,5469566,7/25/2019
139,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne Marie,2002,27,140,67,5306432,8/1/2019
71,spotify:track:4vIKzWqtn44umal5jXq4wE,Ed Sheeran,1000 Nights feat Meek Mill and A Boogie Wit da Hoodie,71,-1,1,8285363,7/18/2019
117,spotify:track:1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,3 Nights,51,102,16,6447943,7/18/2019
102,spotify:track:1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,3 Nights,51,101,15,6466776,7/11/2019
101,spotify:track:1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,3 Nights,51,97,14,6631242,7/4/2019
97,spotify:track:1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,3 Nights,51,117,17,6837714,7/25/2019
80,spotify:track:1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,3 Nights,51,97,18,7204332,8/1/2019
39,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,1,31,26,12147299,7/18/2019
31,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,1,35,25,12343170,7/11/2019
35,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,1,25,24,12661106,7/4/2019
37,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,1,39,27,11498117,7/25/2019
37,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,1,37,28,11040605,8/1/2019
131,spotify:track:1iWHabUgUuuKLBa0TzTHfk,ZAYN,A Whole New World End Title From Aladdin,47,112,10,5793753,7/18/2019
