rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,week
18,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI,STAY with Justin Bieber,1,19,54,16545110,7/21/2021
86,spotify:track:5lfWrciYtohtIMVDVZd0Rf,Calvin Harris,Stay With Me with Justin Timberlake Halsey and Pharrell,86,-1,1,8050805,7/21/2021
193,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,Gym Class Heroes,Stereo Hearts feat Adam Levine,136,-1,15,4992345,7/8/2021
166,spotify:track:4rmVZajAF7PkrCagGPHbqa,Drake,Sticky,17,127,5,6178363,7/21/2021
100,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,9,99,26,6779287,7/8/2021
103,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,9,100,27,6585695,7/15/2021
111,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,9,103,28,6584907,7/22/2021
114,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,9,111,29,6502302,7/29/2021
102,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Sunflower SpiderMan Into the SpiderVerse,1,104,143,6664320,7/15/2021
104,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Sunflower SpiderMan Into the SpiderVerse,1,122,142,6576771,7/8/2021
105,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Sunflower SpiderMan Into the SpiderVerse,1,102,144,6723533,7/22/2021
112,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Sunflower SpiderMan Into the SpiderVerse,1,105,145,6546948,7/29/2021
147,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Sunflower SpiderMan Into the SpiderVerse,1,142,196,6443115,7/21/2021
28,spotify:track:4h4QlmocP3IuwYEj2j14p8,Nicky Youre,Sunroof,28,33,11,12882233,7/21/2021
159,spotify:track:63WuQOXohQIxOxIFA2K7bR,Maneskin,SUPERMODEL,89,152,10,6317348,7/21/2021
50,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,29,47,99,10583269,7/21/2021
68,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,35,71,48,8564017,7/29/2021
70,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,35,79,45,8196101,7/8/2021
71,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,35,70,46,8301997,7/15/2021
71,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,35,71,47,8435520,7/22/2021
116,spotify:track:7o2CTH4ctstm8TNelqjb51,Guns N Roses,Sweet Child O Mine,101,101,7,7122810,7/21/2021
138,spotify:track:7mFj0LlWtEJaEigguaWqYh,Megan Thee Stallion,Sweetest Pie,17,128,19,6592164,7/21/2021
65,spotify:track:1QL7nSDZCwZMnbisV4KOXt,WILLOW,t r a n s p a r e n t s o u l feat Travis Barker,60,68,5,8377667,7/8/2021
74,spotify:track:5JKnYZOhSP7rOK0jPYcCjV,WILLOW,t r a n s p a r e n t s o u l feat Travis Barker,60,78,7,8170737,7/22/2021
78,spotify:track:1QL7nSDZCwZMnbisV4KOXt,WILLOW,t r a n s p a r e n t s o u l feat Travis Barker,60,65,6,7784197,7/15/2021
98,spotify:track:5JKnYZOhSP7rOK0jPYcCjV,WILLOW,t r a n s p a r e n t s o u l feat Travis Barker,60,74,8,6853994,7/29/2021
136,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me to Church,108,146,42,5907750,7/29/2021
