rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
64,spotify:track:4zN21mbAuaD0WqtmaTZZeP,James Hype Miggy Dela Rosa,Ferrari,UniversalIsland Records Ltd,64,79,6,8944766
65,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,1,60,39,8863635
66,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Anitta,Envolver,Warner Records,2,64,19,8585175
67,spotify:track:5nujrmhLynf4yMoMtj8AQF,Dua Lipa DaBaby,Levitating feat DaBaby,Warner Records,4,67,93,8515720
68,spotify:track:5kVZxyMY1gfdCLiChsfjn1,Bad Bunny,Yo No Soy Celoso,Rimas Entertainment LLC,11,62,10,8439739
69,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,Columbia,3,77,43,8430368
70,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,2,74,84,8390807
71,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,73,79,8381927
72,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Big Machine Records LLC,72,82,9,8333301
73,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom Interscope Records,6,72,50,8330230
74,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Warner Records,53,81,28,8328287
75,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,78,67,8298197
76,spotify:track:4gzsuuZypVbxs0Af1LSZyB,Tainy Bad Bunny Julieta Venegas,Lo Siento BB with Bad Bunny and Julieta Venegas,Neon16,12,76,41,8281898
77,spotify:track:6VrQTLzzuyGIYjUDe4kAZk,Bad Bunny,Un Coco,Rimas Entertainment LLC,25,75,10,8243232
78,spotify:track:4d4ZXH4dr5bYfgErHiZCX2,Bad Bunny,Dos Mil 16,Rimas Entertainment LLC,19,70,10,8220630
79,spotify:track:28GCbKgjlVD9eDmasGbe0T,Bad Bunny,Me Fui de Vacaciones,Rimas Entertainment LLC,14,66,10,8208045
80,spotify:track:4XKXphKH76W4zNpkgFS5o2,j hope,MORE,BIGHIT MUSIC,22,22,2,8166216
81,spotify:track:7fZBQnc0zXwVybgCIrQQil,Imanbek BYOR,Belly Dancer,Musical Freedom,81,91,7,8147362
82,spotify:track:09mEdoA6zrmBPgTEN5qXmN,The Weeknd,Call Out My Name,Universal Republic Records,1,96,38,8106507
83,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner   Interscope,56,83,18,8105205
