Popularity,artist_names,track_name,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5,Lil Nas X,INDUSTRY BABY feat Jack Harlow,['pop'],0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,212000
5,Bad Bunny,Titi Me Pregunto,['latin'],0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717
5,Joji,Glimpse of Us,['pop'],0.44,0.317,8,-9.258,1,0.0531,0.891,0.00000478,0.141,0.268,169.914,233456
6,Drake,Emotionless,['hip hop'],0.413,0.676,1,-5.124,1,0.213,0.0239,0,0.0811,0.0827,173.478,302173
6,Juice WRLD,Lucid Dreams,['rap'],0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836
6,Tyga,Taste feat Offset,['hip hop'],0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,232959
6,Drake,Money In The Grave Drake ft Rick Ross,['hip hop'],0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,205427
6,Lil Nas X,Old Town Road Remix,['pop'],0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067
6,Billie Eilish,bad guy,['hip hop'],0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088
6,BLACKPINK,How You Like That,['k pop'],0.828,0.782,11,-4.014,1,0.0918,0.0694,0.0000341,0.0544,0.351,130.013,181264
6,SAINt JHN,Roses Imanbek Remix,['rap'],0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840
6,Juice WRLD,Come and Go with Marshmello,['rap'],0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485
6,The Weeknd,Blinding Lights,['pop'],0.514,0.73,1,-5.934,1,0.0598,0.00146,0.0000954,0.0897,0.334,171.005,200040
6,Doja Cat,Kiss Me More feat SZA,['rap'],0.764,0.705,8,-3.463,1,0.0284,0.259,0.0000892,0.12,0.781,110.97,208667
